region_id,region_name,lm_a,lm_b,lm_c,resolution,use_for_pca
T001,test,B1,B14,L8,24,1
T002,test,B1,B2,L8,24,1
T003,test,B2,L6,L8,24,1
T004,test,B2,L2,L6,24,1
T005,test,B2,B3,L2,24,1
T006,test,B3,L2,L4,24,1
T007,test,B3,L4,L7,24,1
T008,test,B3,B4,L7,24,1
T009,test,B4,L7,L31,24,1
T010,test,B4,B5,L31,24,1
T011,test,B5,L13,L31,24,1
T012,test,B5,B6,L13,24,1
T013,test,B6,L13,L19,24,1
T014,test,B6,B7,L19,24,1
T015,test,B7,L19,L21,24,1
T016,test,B7,B8,L21,24,1
T017,test,B8,L21,L26,24,1
T018,test,B8,B9,L26,24,1
T019,test,B9,B10,L26,24,1
T020,test,B10,L22,L26,24,1
T021,test,B10,B11,L22,24,1
T022,test,B11,B12,L22,24,1
T023,test,B12,L15,L22,24,1
T024,test,B12,B13,L15,24,1
T025,test,B13,B14,L15,24,1
T026,test,B14,L8,L15,24,1
T027,test,L8,L15,L16,24,1
T028,test,L6,L8,L16,24,1
T029,test,L6,L9,L16,24,1
T030,test,L2,L4,L6,24,1
T031,test,L4,L6,L9,24,1
T032,test,L4,L7,L9,24,1
T033,test,L7,L9,L10,24,1
T034,test,L7,L10,L31,24,1
T035,test,L10,L13,L31,24,1
T036,test,L10,L13,L17,24,1
T037,test,L13,L17,L28,24,1
T038,test,L13,L19,L28,24,1
T039,test,L19,L28,L29,24,1
T040,test,L19,L21,L29,24,1
T041,test,L20,L21,L26,24,1
T042,test,L20,L21,L29,24,1
T043,test,L20,L23,L26,24,1
T044,test,L22,L23,L26,24,1
T045,test,L15,L16,L22,24,1
T046,test,L16,L22,L23,24,1
T047,test,L16,L18,L23,24,1
T048,test,L9,L16,L18,24,1
T049,test,L9,L10,L18,24,1
T050,test,L10,L17,L18,24,1
T051,test,L17,L18,L29,24,1
T052,test,L17,L28,L29,24,1
T053,test,L18,L20,L29,24,1
T054,test,L18,L20,L23,24,1
