landmark_id,x,y,z,confidence,annotator,comment
L02,0.6587,-19.8,14.7519,1.0,simulated,
L07,1.5687,-9.0,10.5462,1.0,simulated,
L10,-2.5081,0.0,5.3511,1.0,simulated,
L13,-8.7984,3.0,9.5724,1.0,simulated,
L15,7.8234,-3.0,13.4645,1.0,simulated,
L19,-8.8141,12.0,13.7098,1.0,simulated,
L20,3.7791,10.8,13.7248,1.0,simulated,
L21,-2.5159,13.8,7.9254,1.0,simulated,
L26,0.0,34.2,13.319,1.0,simulated,
L28,-3.7796,7.8,4.7982,1.0,simulated,
L29,-3.7784,11.4,6.4684,1.0,simulated,
L30,-3.7799,9.6,5.3669,1.0,simulated,
L31,1.5656,-1.8,6.2386,1.0,simulated,
