landmark_id,x,y,z
B1,25.027714,35.296681,11.012769
B2,14.008883,28.190353,-0.106699
B3,-0.089473,22.562735,-8.621543
B4,-12.879951,16.889885,-16.981224
B5,-15.138618,3.089884,-4.706699
B6,-13.108171,-12.910117,3.777679
B7,-10.479952,-30.004124,13.093302
B8,-9.180608,-49.912371,23.293303
B9,4.320049,-44.310120,32.986930
B10,17.045007,-37.788339,43.293304
B11,30.005353,-32.085085,51.238404
B12,29.304812,-11.910117,37.492651
B13,28.661986,8.489395,24.693126
B14,26.569032,21.760122,15.910433
L7,-3.595762,9.803225,-6.107645
L4,1.504738,13.029213,-14.106699
L2,9.320049,13.028657,-17.421407
L6,20.720049,2.489884,-11.686289
L16,24.320050,-12.710116,2.355924
L23,18.320050,-24.510117,13.194352
L26,4.038188,-31.710117,24.493303
L21,1.290665,-18.184062,17.493301
L19,3.184419,-13.376571,11.800372
L13,1.284253,-3.910116,11.770222
L31,1.741265,3.289884,1.693302
L10,7.398015,5.089884,1.791179
L9,9.347006,8.306082,-7.732017
L18,14.800660,-11.735386,4.448758
L20,7.819515,-14.916231,13.110319
L29,8.520049,-10.529581,20.937347
L28,2.347013,-2.278473,14.410238
L17,5.760329,-0.053432,10.868851
L8,9.408000,10.773939,2.577357
L15,15.422393,0.089884,14.693302
L22,13.254772,-11.724523,22.894785
