landmark_id,x,y,z
B1,-20.331818,65.688970,-5.507478
B2,-6.833677,63.111155,-15.454074
B3,5.759337,56.957134,-21.114687
B4,21.154434,40.157283,-22.341968
B5,19.359337,28.888970,-18.163834
B6,15.027122,16.118157,-14.731592
B7,10.972160,-1.709976,-8.035113
B8,6.159337,-20.311031,0.583738
B9,-4.031412,-12.458066,12.285313
B10,-16.423037,-7.058066,16.946069
B11,-30.260994,1.888969,29.196660
B12,-27.770867,19.162497,20.312536
B13,-25.990759,37.088970,8.864378
B14,-21.637012,55.082584,-0.205686
L7,8.159338,37.688970,-17.776735
L4,3.974870,43.480218,-21.859636
L2,-4.836618,49.688970,-23.332047
L6,-17.300978,46.688970,-16.714687
L16,-23.240664,34.488968,-11.791836
L23,-20.440662,10.332182,-7.914688
L26,-0.108664,-5.217985,0.153314
L21,0.574038,6.825217,-4.725107
L19,0.220519,12.706232,-10.331951
L13,0.862255,23.688969,-7.914688
L31,2.334301,29.421745,-14.191748
L10,-5.125540,32.569607,-13.314688
L9,-12.604464,40.288970,-15.219249
L18,-14.424423,23.888970,-14.183804
L20,-7.117955,15.185712,-10.514688
L29,2.959337,12.260697,0.485313
L28,2.780584,21.603651,-6.084806
L17,-6.040663,25.434110,-4.714687
L8,-4.582937,41.931594,-9.682771
L15,-13.947736,28.529589,-1.143407
L22,-9.240663,11.881197,4.113085
