sample_id,side,region_id,region_name,face_id,local_v0,local_v1,local_v2,global_v0,global_v1,global_v2
T001,L,T001,test,0,0,9,1,0,9,1
T001,L,T001,test,1,9,10,1,9,10,1
T001,L,T001,test,2,1,10,2,1,10,2
T001,L,T001,test,3,10,11,2,10,11,2
T001,L,T001,test,4,2,11,3,2,11,3
T001,L,T001,test,5,11,12,3,11,12,3
T001,L,T001,test,6,3,12,4,3,12,4
T001,L,T001,test,7,12,13,4,12,13,4
T001,L,T001,test,8,4,13,5,4,13,5
T001,L,T001,test,9,13,14,5,13,14,5
T001,L,T001,test,10,5,14,6,5,14,6
T001,L,T001,test,11,14,15,6,14,15,6
T001,L,T001,test,12,6,15,7,6,15,7
T001,L,T001,test,13,15,16,7,15,16,7
T001,L,T001,test,14,7,16,8,7,16,8
T001,L,T001,test,15,9,17,10,9,17,10
T001,L,T001,test,16,17,18,10,17,18,10
T001,L,T001,test,17,10,18,11,10,18,11
T001,L,T001,test,18,18,19,11,18,19,11
T001,L,T001,test,19,11,19,12,11,19,12
T001,L,T001,test,20,19,20,12,19,20,12
T001,L,T001,test,21,12,20,13,12,20,13
T001,L,T001,test,22,20,21,13,20,21,13
T001,L,T001,test,23,13,21,14,13,21,14
T001,L,T001,test,24,21,22,14,21,22,14
T001,L,T001,test,25,14,22,15,14,22,15
T001,L,T001,test,26,22,23,15,22,23,15
T001,L,T001,test,27,15,23,16,15,23,16
T001,L,T001,test,28,17,24,18,17,24,18
T001,L,T001,test,29,24,25,18,24,25,18
T001,L,T001,test,30,18,25,19,18,25,19
T001,L,T001,test,31,25,26,19,25,26,19
T001,L,T001,test,32,19,26,20,19,26,20
T001,L,T001,test,33,26,27,20,26,27,20
T001,L,T001,test,34,20,27,21,20,27,21
T001,L,T001,test,35,27,28,21,27,28,21
T001,L,T001,test,36,21,28,22,21,28,22
T001,L,T001,test,37,28,29,22,28,29,22
T001,L,T001,test,38,22,29,23,22,29,23
T001,L,T001,test,39,24,30,25,24,30,25
T001,L,T001,test,40,30,31,25,30,31,25
T001,L,T001,test,41,25,31,26,25,31,26
T001,L,T001,test,42,31,32,26,31,32,26
T001,L,T001,test,43,26,32,27,26,32,27
T001,L,T001,test,44,32,33,27,32,33,27
T001,L,T001,test,45,27,33,28,27,33,28
T001,L,T001,test,46,33,34,28,33,34,28
T001,L,T001,test,47,28,34,29,28,34,29
T001,L,T001,test,48,30,35,31,30,35,31
T001,L,T001,test,49,35,36,31,35,36,31
T001,L,T001,test,50,31,36,32,31,36,32
T001,L,T001,test,51,36,37,32,36,37,32
T001,L,T001,test,52,32,37,33,32,37,33
T001,L,T001,test,53,37,38,33,37,38,33
T001,L,T001,test,54,33,38,34,33,38,34
T001,L,T001,test,55,35,39,36,35,39,36
T001,L,T001,test,56,39,40,36,39,40,36
T001,L,T001,test,57,36,40,37,36,40,37
T001,L,T001,test,58,40,41,37,40,41,37
T001,L,T001,test,59,37,41,38,37,41,38
T001,L,T001,test,60,39,42,40,39,42,40
T001,L,T001,test,61,42,43,40,42,43,40
T001,L,T001,test,62,40,43,41,40,43,41
T001,L,T001,test,63,42,44,43,42,44,43
