point_id,sample_id,side,region_id,region_name,region_point_id,lambda_a,lambda_b,lambda_c,u,v,source_face_index,is_unmapped,x,y,z
T078_L_P00000,T078,L,T001,test,0,1.0,0.0,0.0,0.0,0.0,-1,True,,,
T078_L_P00001,T078,L,T001,test,1,0.875,0.0,0.125,0.0,0.125,1776,False,2.2030448038174724,18.489692130597238,-16.51153564453125
T078_L_P00002,T078,L,T001,test,2,0.75,0.0,0.25,0.0,0.25,1797,False,4.992874716914049,16.69326346161222,-16.51153564453125
T078_L_P00003,T078,L,T001,test,3,0.625,0.0,0.375,0.0,0.375,2767,False,7.026860143313767,14.607866287231445,-15.520741273554608
T078_L_P00004,T078,L,T001,test,4,0.5,0.0,0.5,0.0,0.5,3296,False,8.189821993097464,12.395335722043114,-13.699004757624266
T078_L_P00005,T078,L,T001,test,5,0.375,0.0,0.625,0.0,0.625,4320,False,9.51252135264384,10.418509673259782,-11.587335281001089
T078_L_P00006,T078,L,T001,test,6,0.25,0.0,0.75,0.0,0.75,733,False,10.933938189421802,8.563799807586493,-9.49118710269607
T078_L_P00007,T078,L,T001,test,7,0.125,0.0,0.875,0.0,0.875,474,False,11.889047751417737,6.282265481385217,-7.435192942049863
T078_L_P00008,T078,L,T001,test,8,0.0,0.0,1.0,0.0,1.0,-1,True,,,
T078_L_P00009,T078,L,T001,test,9,0.875,0.125,0.0,0.125,0.0,1343,False,2.0017394688684513,19.407865524291992,-15.69197768357043
T078_L_P00010,T078,L,T001,test,10,0.75,0.125,0.125,0.125,0.125,1951,False,4.803938277778978,18.18099714381363,-15.765129646255218
T078_L_P00011,T078,L,T001,test,11,0.625,0.125,0.25,0.125,0.25,2656,False,7.300866785547221,15.970927413088864,-15.060656535347354
T078_L_P00012,T078,L,T001,test,12,0.5,0.125,0.375,0.125,0.375,3113,False,9.04350833871793,13.558654462845578,-13.83566009737169
T078_L_P00013,T078,L,T001,test,13,0.375,0.125,0.5,0.125,0.5,4275,False,10.386874947159663,11.210381863330872,-12.031153960049227
T078_L_P00014,T078,L,T001,test,14,0.25,0.125,0.625,0.125,0.625,950,False,11.61253117524691,8.999631858442733,-9.954909280201791
T078_L_P00015,T078,L,T001,test,15,0.125,0.125,0.75,0.125,0.75,485,False,12.561188380702593,6.8768100662709895,-7.975635495068044
T078_L_P00016,T078,L,T001,test,16,0.0,0.125,0.875,0.125,0.875,44,False,12.72710132598877,4.440231743319787,-6.064141615198716
T078_L_P00017,T078,L,T001,test,17,0.75,0.25,0.0,0.25,0.0,1165,False,4.600814920198198,19.26685750355016,-14.51153564453125
T078_L_P00018,T078,L,T001,test,18,0.625,0.25,0.125,0.25,0.125,2401,False,7.382031075947753,17.169953010660233,-14.348631637056016
T078_L_P00019,T078,L,T001,test,19,0.5,0.25,0.25,0.25,0.25,3648,False,9.31927871039473,14.99276159074143,-13.539472154335547
T078_L_P00020,T078,L,T001,test,20,0.375,0.25,0.375,0.25,0.375,4231,False,10.836403625476628,12.331554638670163,-12.167740785379568
T078_L_P00021,T078,L,T001,test,21,0.25,0.25,0.5,0.25,0.5,994,False,12.26724347931208,10.063978153645438,-10.183813457341557
T078_L_P00022,T078,L,T001,test,22,0.125,0.25,0.625,0.25,0.625,5910,False,13.281405530731792,7.818703043439745,-8.300442264936247
T078_L_P00023,T078,L,T001,test,23,0.0,0.25,0.75,0.25,0.75,114,False,13.65528122764953,5.237526178084401,-6.325307431788777
T078_L_P00024,T078,L,T001,test,24,0.625,0.375,0.0,0.375,0.0,1515,False,6.915554915088895,18.309164962041315,-13.320202351005705
T078_L_P00025,T078,L,T001,test,25,0.5,0.375,0.125,0.375,0.125,3500,False,9.36266613308288,15.806274983826395,-13.041719386850488
T078_L_P00026,T078,L,T001,test,26,0.375,0.375,0.25,0.375,0.25,4771,False,11.11840366941981,13.583868684212776,-11.898964973230886
T078_L_P00027,T078,L,T001,test,27,0.25,0.375,0.375,0.375,0.375,5377,False,12.764519358266352,11.120655419997995,-10.065948215201775
T078_L_P00028,T078,L,T001,test,28,0.125,0.375,0.5,0.375,0.5,6129,False,13.90693318414283,8.9090966065732,-8.302982055483483
T078_L_P00029,T078,L,T001,test,29,0.0,0.375,0.625,0.375,0.625,163,False,14.509662671573917,6.258362444256216,-6.511535167694092
T078_L_P00030,T078,L,T001,test,30,0.5,0.5,0.0,0.5,0.0,3544,False,9.037731271470545,16.868745529208812,-12.224345367661531
T078_L_P00031,T078,L,T001,test,31,0.375,0.5,0.125,0.5,0.125,4645,False,11.07469727640393,14.781570930751531,-11.297698897943995
T078_L_P00032,T078,L,T001,test,32,0.25,0.5,0.25,0.5,0.25,5412,False,12.774554436093304,12.440793706440965,-9.941251857718104
T078_L_P00033,T078,L,T001,test,33,0.125,0.5,0.375,0.5,0.375,6389,False,14.180410454840777,9.88579600917394,-8.31540568010837
T078_L_P00034,T078,L,T001,test,34,0.0,0.5,0.5,0.5,0.5,7934,False,15.32137127536057,7.39148376380776,-6.511535167694092
T078_L_P00035,T078,L,T001,test,35,0.375,0.625,0.0,0.625,0.0,4668,False,10.727744874344642,15.807866096496584,-10.363025372728966
