sample_id,side,region_id,region_name,sample_point_count,expected_point_count,remesh_face_count,unmapped_count,flipped_faces,degenerate_faces,patch_face_count,mesh_exported,mesh_path,status
T077,L,T001,test,325,325,576,1,0,0,8072,False,,WARNING
T077,L,T002,test,325,325,576,0,14347,0,14347,True,output\remesh_r24\raw\T077_L\T002_remesh.ply,PASS
T077,L,T003,test,325,325,576,0,0,0,8493,True,output\remesh_r24\raw\T077_L\T003_remesh.ply,PASS
T077,L,T004,test,325,325,576,45,1079,0,1079,False,,WARNING
T077,L,T005,test,325,325,576,0,0,0,7859,True,output\remesh_r24\raw\T077_L\T005_remesh.ply,PASS
T077,L,T006,test,325,325,576,1,2680,0,2680,False,,WARNING
T077,L,T007,test,325,325,576,0,0,0,2014,True,output\remesh_r24\raw\T077_L\T007_remesh.ply,PASS
T077,L,T008,test,325,325,576,2,0,0,11240,False,,WARNING
T077,L,T009,test,325,325,576,7,5390,0,5390,False,,WARNING
T077,L,T010,test,325,325,576,14,0,0,3065,False,,WARNING
T077,L,T011,test,325,325,576,1,15260,0,15260,False,,WARNING
T077,L,T012,test,325,325,576,1,0,0,2032,False,,WARNING
T077,L,T013,test,325,325,576,0,7038,0,7038,True,output\remesh_r24\raw\T077_L\T013_remesh.ply,PASS
T077,L,T014,test,325,325,576,5,6826,0,6826,False,,WARNING
T077,L,T015,test,325,325,576,7,1143,0,1143,False,,WARNING
