sample_id,side,region_id,region_name,sample_point_count,expected_point_count,remesh_face_count,raw_unmapped_count,raw_status,repaired_unmapped_count,repair_count,repair_applied,flipped_faces,degenerate_faces,patch_face_count,mesh_exported,mesh_path,status
T0100,L,T001,test,325,325,576,2,WARNING,0,2,True,0,0,10704,True,output\remesh_r24\repaired\T0100_L\T001_remesh_repaired.ply,PASS
T0100,L,T002,test,325,325,576,0,FAIL,0,0,False,26226,1281,580717,False,,FAIL
T0100,L,T003,test,325,325,576,76,FAIL,76,0,False,1104,0,1104,False,,FAIL
T0100,L,T004,test,325,325,576,0,FAIL,0,0,False,32979,1317,580717,False,,FAIL
T0100,L,T005,test,325,325,576,0,PASS,0,0,False,0,0,2307,True,output\remesh_r24\repaired\T0100_L\T005_remesh_repaired.ply,PASS
T0100,L,T006,test,325,325,576,3,WARNING,0,3,True,0,0,12913,True,output\remesh_r24\repaired\T0100_L\T006_remesh_repaired.ply,PASS
T0100,L,T007,test,325,325,576,11,WARNING,0,11,True,5167,0,5167,True,output\remesh_r24\repaired\T0100_L\T007_remesh_repaired.ply,PASS
T0100,L,T008,test,325,325,576,1,WARNING,0,1,True,0,0,4969,True,output\remesh_r24\repaired\T0100_L\T008_remesh_repaired.ply,PASS
T0100,L,T009,test,325,325,576,0,PASS,0,0,False,9805,0,9805,True,output\remesh_r24\repaired\T0100_L\T009_remesh_repaired.ply,PASS
T0100,L,T010,test,325,325,576,73,FAIL,73,0,False,0,0,892,False,,FAIL
T0100,L,T011,test,325,325,576,5,WARNING,0,5,True,2569,0,2569,True,output\remesh_r24\repaired\T0100_L\T011_remesh_repaired.ply,PASS
T0100,L,T012,test,325,325,576,4,WARNING,0,4,True,0,0,1041,True,output\remesh_r24\repaired\T0100_L\T012_remesh_repaired.ply,PASS
T0100,L,T013,test,325,325,576,32,WARNING,0,32,True,0,0,2678,True,output\remesh_r24\repaired\T0100_L\T013_remesh_repaired.ply,PASS
