sample_id,side,region_id,region_name,sample_point_count,expected_point_count,remesh_face_count,raw_unmapped_count,raw_status,salvaged_unmapped_count,repair_count,repair_applied,salvage_attempted,salvage_accepted,salvage_rejection_reason,flipped_faces,degenerate_faces,patch_face_count,mesh_exported,mesh_path,status
T076,L,T001,test,325,325,576,1,WARNING,0,1,True,False,False,,0,0,8120,True,output\remesh_r24\salvaged\T076_L\T001_remesh_salvaged.ply,PASS
T076,L,T002,test,325,325,576,1,WARNING,0,1,True,False,False,,33678,0,33678,True,output\remesh_r24\salvaged\T076_L\T002_remesh_salvaged.ply,PASS
T076,L,T003,test,325,325,576,3,WARNING,0,3,True,False,False,,0,0,10936,True,output\remesh_r24\salvaged\T076_L\T003_remesh_salvaged.ply,PASS
T076,L,T004,test,325,325,576,55,WARNING,0,55,True,False,False,,2259,0,2259,True,output\remesh_r24\salvaged\T076_L\T004_remesh_salvaged.ply,PASS
T076,L,T005,test,325,325,576,0,PASS,0,0,False,False,False,,0,0,5172,True,output\remesh_r24\salvaged\T076_L\T005_remesh_salvaged.ply,PASS
T076,L,T006,test,325,325,576,22,WARNING,0,22,True,False,False,,2453,0,2453,True,output\remesh_r24\salvaged\T076_L\T006_remesh_salvaged.ply,PASS
T076,L,T007,test,325,325,576,0,PASS,0,0,False,False,False,,0,0,2331,True,output\remesh_r24\salvaged\T076_L\T007_remesh_salvaged.ply,PASS
T076,L,T008,test,325,325,576,8,WARNING,0,8,True,False,False,,0,0,8165,True,output\remesh_r24\salvaged\T076_L\T008_remesh_salvaged.ply,PASS
T076,L,T009,test,325,325,576,0,PASS,0,0,False,False,False,,24403,0,24403,True,output\remesh_r24\salvaged\T076_L\T009_remesh_salvaged.ply,PASS
T076,L,T010,test,325,325,576,2,WARNING,0,2,True,False,False,,0,0,5580,True,output\remesh_r24\salvaged\T076_L\T010_remesh_salvaged.ply,PASS
T076,L,T011,test,325,325,576,4,WARNING,0,4,True,False,False,,3783,0,3783,True,output\remesh_r24\salvaged\T076_L\T011_remesh_salvaged.ply,PASS
T076,L,T012,test,325,325,576,2,WARNING,0,2,True,False,False,,0,0,1906,True,output\remesh_r24\salvaged\T076_L\T012_remesh_salvaged.ply,PASS
T076,L,T013,test,325,325,576,0,PASS,0,0,False,False,False,,13476,0,13476,True,output\remesh_r24\salvaged\T076_L\T013_remesh_salvaged.ply,PASS
T076,L,T014,test,325,325,576,12,WARNING,0,12,True,False,False,,0,0,3913,True,output\remesh_r24\salvaged\T076_L\T014_remesh_salvaged.ply,PASS
T076,L,T015,test,325,325,576,2,WARNING,0,2,True,False,False,,2836,0,2836,True,output\remesh_r24\salvaged\T076_L\T015_remesh_salvaged.ply,PASS
