sample_tag,region_id,region_name,sample_point_count,expected_point_count,unmapped_count,unmapped_ratio,flipped_faces,degenerate_faces,patch_face_count,remesh_face_count,status,sample_id,side,figure_path,error
T013_L,T001,test,45,45,2,0.044444444444444446,0,0,7682,64,WARNING,T013,L,output\qc_visualizations\T013_L\T001_qc.png,
T013_L,T002,test,45,45,1,0.022222222222222223,28832,0,28832,64,WARNING,T013,L,output\qc_visualizations\T013_L\T002_qc.png,
T013_L,T003,test,45,45,5,0.1111111111111111,2059,0,2059,64,WARNING,T013,L,output\qc_visualizations\T013_L\T003_qc.png,
T013_L,T004,test,45,45,1,0.022222222222222223,8613,0,8613,64,WARNING,T013,L,output\qc_visualizations\T013_L\T004_qc.png,
T013_L,T005,test,45,45,2,0.044444444444444446,0,0,2548,64,WARNING,T013,L,output\qc_visualizations\T013_L\T005_qc.png,
T013_L,T006,test,45,45,3,0.06666666666666667,0,0,12766,64,WARNING,T013,L,output\qc_visualizations\T013_L\T006_qc.png,
T013_L,T007,test,45,45,0,0.0,40915,0,40915,64,PASS,T013,L,output\qc_visualizations\T013_L\T007_qc.png,
T013_L,T008,test,45,45,5,0.1111111111111111,0,0,2702,64,WARNING,T013,L,output\qc_visualizations\T013_L\T008_qc.png,
T013_L,T009,test,45,45,21,0.4666666666666667,179,0,179,64,FAIL,T013,L,output\qc_visualizations\T013_L\T009_qc.png,
T013_L,T010,test,45,45,1,0.022222222222222223,0,0,1808,64,WARNING,T013,L,output\qc_visualizations\T013_L\T010_qc.png,
T013_L,T011,test,45,45,1,0.022222222222222223,2981,0,2981,64,WARNING,T013,L,output\qc_visualizations\T013_L\T011_qc.png,
T013_L,T012,test,45,45,1,0.022222222222222223,0,0,2828,64,WARNING,T013,L,output\qc_visualizations\T013_L\T012_qc.png,
T013_L,T013,test,45,45,0,0.0,0,0,6783,64,PASS,T013,L,output\qc_visualizations\T013_L\T013_qc.png,
T076_L,T001,test,45,45,1,0.022222222222222223,0,0,8120,64,WARNING,T076,L,output\qc_visualizations\T076_L\T001_qc.png,
T076_L,T002,test,45,45,1,0.022222222222222223,33678,0,33678,64,WARNING,T076,L,output\qc_visualizations\T076_L\T002_qc.png,
T076_L,T003,test,45,45,1,0.022222222222222223,3290,0,3290,64,WARNING,T076,L,output\qc_visualizations\T076_L\T003_qc.png,
T076_L,T004,test,45,45,0,0.0,19529,0,19529,64,PASS,T076,L,output\qc_visualizations\T076_L\T004_qc.png,
T076_L,T005,test,45,45,3,0.06666666666666667,0,0,1782,64,WARNING,T076,L,output\qc_visualizations\T076_L\T005_qc.png,
T076_L,T006,test,45,45,3,0.06666666666666667,0,0,8165,64,WARNING,T076,L,output\qc_visualizations\T076_L\T006_qc.png,
T076_L,T007,test,45,45,0,0.0,24769,0,24769,64,PASS,T076,L,output\qc_visualizations\T076_L\T007_qc.png,
T076_L,T008,test,45,45,2,0.044444444444444446,0,0,2763,64,WARNING,T076,L,output\qc_visualizations\T076_L\T008_qc.png,
T076_L,T009,test,45,45,1,0.022222222222222223,1084,0,1084,64,WARNING,T076,L,output\qc_visualizations\T076_L\T009_qc.png,
T076_L,T010,test,45,45,1,0.022222222222222223,0,0,3125,64,WARNING,T076,L,output\qc_visualizations\T076_L\T010_qc.png,
T076_L,T011,test,45,45,1,0.022222222222222223,3212,0,3212,64,WARNING,T076,L,output\qc_visualizations\T076_L\T011_qc.png,
T076_L,T012,test,45,45,1,0.022222222222222223,0,0,2095,64,WARNING,T076,L,output\qc_visualizations\T076_L\T012_qc.png,
T076_L,T013,test,45,45,3,0.06666666666666667,0,0,3913,64,WARNING,T076,L,output\qc_visualizations\T076_L\T013_qc.png,
T077_L,T001,test,45,45,1,0.022222222222222223,0,0,8072,64,WARNING,T077,L,output\qc_visualizations\T077_L\T001_qc.png,
T077_L,T002,test,45,45,0,0.0,14347,0,14347,64,PASS,T077,L,output\qc_visualizations\T077_L\T002_qc.png,
T077_L,T003,test,45,45,2,0.044444444444444446,1462,0,1462,64,WARNING,T077,L,output\qc_visualizations\T077_L\T003_qc.png,
T077_L,T004,test,45,45,1,0.022222222222222223,18807,0,18807,64,WARNING,T077,L,output\qc_visualizations\T077_L\T004_qc.png,
T077_L,T005,test,45,45,2,0.044444444444444446,0,0,1006,64,WARNING,T077,L,output\qc_visualizations\T077_L\T005_qc.png,
T077_L,T006,test,45,45,1,0.022222222222222223,0,0,11240,64,WARNING,T077,L,output\qc_visualizations\T077_L\T006_qc.png,
T077_L,T007,test,45,45,2,0.044444444444444446,17985,0,17985,64,WARNING,T077,L,output\qc_visualizations\T077_L\T007_qc.png,
T077_L,T008,test,45,45,0,0.0,0,0,4566,64,PASS,T077,L,output\qc_visualizations\T077_L\T008_qc.png,
T077_L,T009,test,45,45,0,0.0,2464,0,2464,64,PASS,T077,L,output\qc_visualizations\T077_L\T009_qc.png,
T077_L,T010,test,45,45,1,0.022222222222222223,0,0,3797,64,WARNING,T077,L,output\qc_visualizations\T077_L\T010_qc.png,
T077_L,T011,test,45,45,3,0.06666666666666667,2188,0,2188,64,WARNING,T077,L,output\qc_visualizations\T077_L\T011_qc.png,
T077_L,T012,test,45,45,1,0.022222222222222223,0,0,2032,64,WARNING,T077,L,output\qc_visualizations\T077_L\T012_qc.png,
T077_L,T013,test,45,45,2,0.044444444444444446,0,0,3495,64,WARNING,T077,L,output\qc_visualizations\T077_L\T013_qc.png,
T078_L,T001,test,45,45,45,1.0,0,1,1,64,FAIL,T078,L,output\qc_visualizations\T078_L\T001_qc.png,
T078_L,T002,test,45,45,45,1.0,0,1,1,64,FAIL,T078,L,output\qc_visualizations\T078_L\T002_qc.png,
T078_L,T003,test,45,45,45,1.0,0,1,1,64,FAIL,T078,L,output\qc_visualizations\T078_L\T003_qc.png,
T078_L,T004,test,45,45,45,1.0,0,1,1,64,FAIL,T078,L,output\qc_visualizations\T078_L\T004_qc.png,
T078_L,T005,test,45,45,2,0.044444444444444446,0,1,1215,64,FAIL,T078,L,output\qc_visualizations\T078_L\T005_qc.png,
T078_L,T006,test,45,45,45,1.0,0,1,1,64,FAIL,T078,L,output\qc_visualizations\T078_L\T006_qc.png,
T078_L,T007,test,45,45,45,1.0,0,1,1,64,FAIL,T078,L,output\qc_visualizations\T078_L\T007_qc.png,
T078_L,T008,test,45,45,45,1.0,0,1,1,64,FAIL,T078,L,output\qc_visualizations\T078_L\T008_qc.png,
T078_L,T009,test,45,45,16,0.35555555555555557,161,0,161,64,FAIL,T078,L,output\qc_visualizations\T078_L\T009_qc.png,
T078_L,T010,test,45,45,45,1.0,0,1,1,64,FAIL,T078,L,output\qc_visualizations\T078_L\T010_qc.png,
T078_L,T011,test,45,45,45,1.0,0,1,1,64,FAIL,T078,L,output\qc_visualizations\T078_L\T011_qc.png,
T078_L,T012,test,45,45,45,1.0,0,1,1,64,FAIL,T078,L,output\qc_visualizations\T078_L\T012_qc.png,
T078_L,T013,test,45,45,45,1.0,0,1,1,64,FAIL,T078,L,output\qc_visualizations\T078_L\T013_qc.png,
