sample_tag,region_id,region_name,sample_point_count,expected_point_count,unmapped_count,unmapped_ratio,raw_unmapped_count,raw_unmapped_ratio,raw_status,repaired_unmapped_count,repair_count,repair_applied,salvage_attempted,salvage_accepted,salvage_rejection_reason,flipped_faces,degenerate_faces,patch_face_count,remesh_face_count,status,sample_id,side,figure_path,error
T013_L,T001,test,325,325,0,0.0,7,0.021538461538461538,WARNING,0,7,True,False,False,,0,0,7682,576,PASS,T013,L,output\qc_visualizations_r24\salvaged\T013_L\T001_qc.png,
T013_L,T002,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,28832,0,28832,576,PASS,T013,L,output\qc_visualizations_r24\salvaged\T013_L\T002_qc.png,
T013_L,T003,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,6157,576,PASS,T013,L,output\qc_visualizations_r24\salvaged\T013_L\T003_qc.png,
T013_L,T004,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,2256,0,2256,576,PASS,T013,L,output\qc_visualizations_r24\salvaged\T013_L\T004_qc.png,
T013_L,T005,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,8096,576,PASS,T013,L,output\qc_visualizations_r24\salvaged\T013_L\T005_qc.png,
T013_L,T006,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,False,False,,4550,0,4550,576,PASS,T013,L,output\qc_visualizations_r24\salvaged\T013_L\T006_qc.png,
T013_L,T007,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,4500,576,PASS,T013,L,output\qc_visualizations_r24\salvaged\T013_L\T007_qc.png,
T013_L,T008,test,325,325,0,0.0,10,0.03076923076923077,WARNING,0,10,True,False,False,,0,0,12766,576,PASS,T013,L,output\qc_visualizations_r24\salvaged\T013_L\T008_qc.png,
T013_L,T009,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,26811,0,26811,576,PASS,T013,L,output\qc_visualizations_r24\salvaged\T013_L\T009_qc.png,
T013_L,T010,test,325,325,0,0.0,4,0.012307692307692308,WARNING,0,4,True,False,False,,0,0,4128,576,PASS,T013,L,output\qc_visualizations_r24\salvaged\T013_L\T010_qc.png,
T013_L,T011,test,325,325,0,0.0,3,0.009230769230769232,WARNING,0,3,True,False,False,,4839,0,4839,576,PASS,T013,L,output\qc_visualizations_r24\salvaged\T013_L\T011_qc.png,
T013_L,T012,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,False,False,,0,0,2828,576,PASS,T013,L,output\qc_visualizations_r24\salvaged\T013_L\T012_qc.png,
T013_L,T013,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,8289,0,8289,576,PASS,T013,L,output\qc_visualizations_r24\salvaged\T013_L\T013_qc.png,
T013_L,T014,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,10895,0,10895,576,PASS,T013,L,output\qc_visualizations_r24\salvaged\T013_L\T014_qc.png,
T013_L,T015,test,325,325,0,0.0,89,0.27384615384615385,FAIL,0,89,True,True,True,,1131,0,1131,576,PASS,T013,L,output\qc_visualizations_r24\salvaged\T013_L\T015_qc.png,
T076_L,T001,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,0,0,8120,576,PASS,T076,L,output\qc_visualizations_r24\salvaged\T076_L\T001_qc.png,
T076_L,T002,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,33678,0,33678,576,PASS,T076,L,output\qc_visualizations_r24\salvaged\T076_L\T002_qc.png,
T076_L,T003,test,325,325,0,0.0,3,0.009230769230769232,WARNING,0,3,True,False,False,,0,0,10936,576,PASS,T076,L,output\qc_visualizations_r24\salvaged\T076_L\T003_qc.png,
T076_L,T004,test,325,325,0,0.0,55,0.16923076923076924,WARNING,0,55,True,False,False,,2259,0,2259,576,PASS,T076,L,output\qc_visualizations_r24\salvaged\T076_L\T004_qc.png,
T076_L,T005,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,5172,576,PASS,T076,L,output\qc_visualizations_r24\salvaged\T076_L\T005_qc.png,
T076_L,T006,test,325,325,0,0.0,22,0.06769230769230769,WARNING,0,22,True,False,False,,2453,0,2453,576,PASS,T076,L,output\qc_visualizations_r24\salvaged\T076_L\T006_qc.png,
T076_L,T007,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,2331,576,PASS,T076,L,output\qc_visualizations_r24\salvaged\T076_L\T007_qc.png,
T076_L,T008,test,325,325,0,0.0,8,0.024615384615384615,WARNING,0,8,True,False,False,,0,0,8165,576,PASS,T076,L,output\qc_visualizations_r24\salvaged\T076_L\T008_qc.png,
T076_L,T009,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,24403,0,24403,576,PASS,T076,L,output\qc_visualizations_r24\salvaged\T076_L\T009_qc.png,
T076_L,T010,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,False,False,,0,0,5580,576,PASS,T076,L,output\qc_visualizations_r24\salvaged\T076_L\T010_qc.png,
T076_L,T011,test,325,325,0,0.0,4,0.012307692307692308,WARNING,0,4,True,False,False,,3783,0,3783,576,PASS,T076,L,output\qc_visualizations_r24\salvaged\T076_L\T011_qc.png,
T076_L,T012,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,False,False,,0,0,1906,576,PASS,T076,L,output\qc_visualizations_r24\salvaged\T076_L\T012_qc.png,
T076_L,T013,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,13476,0,13476,576,PASS,T076,L,output\qc_visualizations_r24\salvaged\T076_L\T013_qc.png,
T076_L,T014,test,325,325,0,0.0,3,0.009230769230769232,WARNING,0,3,True,False,False,,7829,0,7829,576,PASS,T076,L,output\qc_visualizations_r24\salvaged\T076_L\T014_qc.png,
T076_L,T015,test,325,325,0,0.0,3,0.009230769230769232,WARNING,0,3,True,False,False,,1080,0,1080,576,PASS,T076,L,output\qc_visualizations_r24\salvaged\T076_L\T015_qc.png,
T077_L,T001,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,0,0,8072,576,PASS,T077,L,output\qc_visualizations_r24\salvaged\T077_L\T001_qc.png,
T077_L,T002,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,14347,0,14347,576,PASS,T077,L,output\qc_visualizations_r24\salvaged\T077_L\T002_qc.png,
T077_L,T003,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,8493,576,PASS,T077,L,output\qc_visualizations_r24\salvaged\T077_L\T003_qc.png,
T077_L,T004,test,325,325,0,0.0,45,0.13846153846153847,WARNING,0,45,True,False,False,,1079,0,1079,576,PASS,T077,L,output\qc_visualizations_r24\salvaged\T077_L\T004_qc.png,
T077_L,T005,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,7859,576,PASS,T077,L,output\qc_visualizations_r24\salvaged\T077_L\T005_qc.png,
T077_L,T006,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,2680,0,2680,576,PASS,T077,L,output\qc_visualizations_r24\salvaged\T077_L\T006_qc.png,
T077_L,T007,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,2014,576,PASS,T077,L,output\qc_visualizations_r24\salvaged\T077_L\T007_qc.png,
T077_L,T008,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,False,False,,0,0,11240,576,PASS,T077,L,output\qc_visualizations_r24\salvaged\T077_L\T008_qc.png,
T077_L,T009,test,325,325,0,0.0,7,0.021538461538461538,WARNING,0,7,True,False,False,,5390,0,5390,576,PASS,T077,L,output\qc_visualizations_r24\salvaged\T077_L\T009_qc.png,
T077_L,T010,test,325,325,0,0.0,14,0.043076923076923075,WARNING,0,14,True,False,False,,0,0,3065,576,PASS,T077,L,output\qc_visualizations_r24\salvaged\T077_L\T010_qc.png,
T077_L,T011,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,15260,0,15260,576,PASS,T077,L,output\qc_visualizations_r24\salvaged\T077_L\T011_qc.png,
T077_L,T012,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,False,False,,0,0,2032,576,PASS,T077,L,output\qc_visualizations_r24\salvaged\T077_L\T012_qc.png,
T077_L,T013,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,7038,0,7038,576,PASS,T077,L,output\qc_visualizations_r24\salvaged\T077_L\T013_qc.png,
T077_L,T014,test,325,325,0,0.0,5,0.015384615384615385,WARNING,0,5,True,False,False,,6826,0,6826,576,PASS,T077,L,output\qc_visualizations_r24\salvaged\T077_L\T014_qc.png,
T077_L,T015,test,325,325,0,0.0,7,0.021538461538461538,WARNING,0,7,True,False,False,,1143,0,1143,576,PASS,T077,L,output\qc_visualizations_r24\salvaged\T077_L\T015_qc.png,
T078_L,T001,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,False,False,,0,0,7942,576,PASS,T078,L,output\qc_visualizations_r24\salvaged\T078_L\T001_qc.png,
T078_L,T002,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,24333,0,24333,576,PASS,T078,L,output\qc_visualizations_r24\salvaged\T078_L\T002_qc.png,
T078_L,T003,test,325,325,0,0.0,0,0.0,PASS,0,0,False,False,False,,0,0,15900,576,PASS,T078,L,output\qc_visualizations_r24\salvaged\T078_L\T003_qc.png,
