sample_tag,region_id,region_name,sample_point_count,expected_point_count,unmapped_count,unmapped_ratio,flipped_faces,degenerate_faces,patch_face_count,remesh_face_count,status,sample_id,side,figure_path,error
T013_L,T002,test,325,325,1,0.003076923076923077,28832,0,28832,576,WARNING,T013,L,output\qc_visualizations_r24_fail_diagnosis\raw\T013_L\T002_qc.png,
T013_L,T003,test,325,325,18,0.055384615384615386,2059,0,2059,576,WARNING,T013,L,output\qc_visualizations_r24_fail_diagnosis\raw\T013_L\T003_qc.png,
T013_L,T004,test,325,325,1,0.003076923076923077,8572,0,8572,576,WARNING,T013,L,output\qc_visualizations_r24_fail_diagnosis\raw\T013_L\T004_qc.png,
T013_L,T005,test,325,325,28,0.08615384615384615,0,0,2589,576,WARNING,T013,L,output\qc_visualizations_r24_fail_diagnosis\raw\T013_L\T005_qc.png,
T013_L,T010,test,325,325,2,0.006153846153846154,0,0,2828,576,WARNING,T013,L,output\qc_visualizations_r24_fail_diagnosis\raw\T013_L\T010_qc.png,
T013_L,T013,test,325,325,89,0.27384615384615385,1131,0,1131,576,FAIL,T013,L,output\qc_visualizations_r24_fail_diagnosis\raw\T013_L\T013_qc.png,
T049_L,T002,test,325,325,3,0.009230769230769232,18906,0,18906,576,WARNING,T049,L,output\qc_visualizations_r24_fail_diagnosis\raw\T049_L\T002_qc.png,
T049_L,T003,test,325,325,0,0.0,33973,0,33973,576,PASS,T049,L,output\qc_visualizations_r24_fail_diagnosis\raw\T049_L\T003_qc.png,
T049_L,T004,test,325,325,5,0.015384615384615385,4180,0,4180,576,WARNING,T049,L,output\qc_visualizations_r24_fail_diagnosis\raw\T049_L\T004_qc.png,
T049_L,T005,test,325,325,112,0.3446153846153846,0,0,4475,576,FAIL,T049,L,output\qc_visualizations_r24_fail_diagnosis\raw\T049_L\T005_qc.png,
T049_L,T010,test,325,325,2,0.006153846153846154,0,0,2035,576,WARNING,T049,L,output\qc_visualizations_r24_fail_diagnosis\raw\T049_L\T010_qc.png,
T049_L,T013,test,325,325,307,0.9446153846153846,14,0,14,576,FAIL,T049,L,output\qc_visualizations_r24_fail_diagnosis\raw\T049_L\T013_qc.png,
T076_L,T002,test,325,325,1,0.003076923076923077,33678,0,33678,576,WARNING,T076,L,output\qc_visualizations_r24_fail_diagnosis\raw\T076_L\T002_qc.png,
T076_L,T003,test,325,325,1,0.003076923076923077,3290,0,3290,576,WARNING,T076,L,output\qc_visualizations_r24_fail_diagnosis\raw\T076_L\T003_qc.png,
T076_L,T004,test,325,325,67,0.20615384615384616,3452,0,3452,576,FAIL,T076,L,output\qc_visualizations_r24_fail_diagnosis\raw\T076_L\T004_qc.png,
T076_L,T005,test,325,325,1,0.003076923076923077,0,0,17540,576,WARNING,T076,L,output\qc_visualizations_r24_fail_diagnosis\raw\T076_L\T005_qc.png,
T076_L,T010,test,325,325,2,0.006153846153846154,0,0,1906,576,WARNING,T076,L,output\qc_visualizations_r24_fail_diagnosis\raw\T076_L\T010_qc.png,
T076_L,T013,test,325,325,3,0.009230769230769232,1080,0,1080,576,WARNING,T076,L,output\qc_visualizations_r24_fail_diagnosis\raw\T076_L\T013_qc.png,
T0100_L,T002,test,325,325,0,0.0,22914,1285,580717,576,FAIL,T0100,L,output\qc_visualizations_r24_fail_diagnosis\raw\T0100_L\T002_qc.png,
T0100_L,T003,test,325,325,0,0.0,21454,2456,580717,576,FAIL,T0100,L,output\qc_visualizations_r24_fail_diagnosis\raw\T0100_L\T003_qc.png,
T0100_L,T004,test,325,325,6,0.018461538461538463,3359,0,3359,576,WARNING,T0100,L,output\qc_visualizations_r24_fail_diagnosis\raw\T0100_L\T004_qc.png,
T0100_L,T005,test,325,325,37,0.11384615384615385,0,0,3124,576,WARNING,T0100,L,output\qc_visualizations_r24_fail_diagnosis\raw\T0100_L\T005_qc.png,
T0100_L,T010,test,325,325,12,0.036923076923076927,0,0,1860,576,WARNING,T0100,L,output\qc_visualizations_r24_fail_diagnosis\raw\T0100_L\T010_qc.png,
T0100_L,T013,test,325,325,119,0.36615384615384616,0,0,689,576,FAIL,T0100,L,output\qc_visualizations_r24_fail_diagnosis\raw\T0100_L\T013_qc.png,
