sample_tag,region_id,region_name,sample_point_count,expected_point_count,unmapped_count,unmapped_ratio,raw_unmapped_count,raw_unmapped_ratio,raw_status,repaired_unmapped_count,repair_count,repair_applied,flipped_faces,degenerate_faces,patch_face_count,remesh_face_count,status,sample_id,side,figure_path,error
T013_L,T002,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,28832,0,28832,576,PASS,T013,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T013_L\T002_qc.png,
T013_L,T003,test,325,325,0,0.0,18,0.055384615384615386,WARNING,0,18,True,2059,0,2059,576,PASS,T013,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T013_L\T003_qc.png,
T013_L,T004,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,8572,0,8572,576,PASS,T013,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T013_L\T004_qc.png,
T013_L,T005,test,325,325,0,0.0,28,0.08615384615384615,WARNING,0,28,True,0,0,2589,576,PASS,T013,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T013_L\T005_qc.png,
T013_L,T010,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,0,0,2828,576,PASS,T013,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T013_L\T010_qc.png,
T013_L,T013,test,325,325,89,0.27384615384615385,89,0.27384615384615385,FAIL,89,0,False,1131,0,1131,576,FAIL,T013,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T013_L\T013_qc.png,
T049_L,T002,test,325,325,0,0.0,3,0.009230769230769232,WARNING,0,3,True,18906,0,18906,576,PASS,T049,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T049_L\T002_qc.png,
T049_L,T003,test,325,325,0,0.0,0,0.0,PASS,0,0,False,33973,0,33973,576,PASS,T049,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T049_L\T003_qc.png,
T049_L,T004,test,325,325,0,0.0,5,0.015384615384615385,WARNING,0,5,True,4180,0,4180,576,PASS,T049,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T049_L\T004_qc.png,
T049_L,T005,test,325,325,112,0.3446153846153846,112,0.3446153846153846,FAIL,112,0,False,0,0,4475,576,FAIL,T049,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T049_L\T005_qc.png,
T049_L,T010,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,0,0,2035,576,PASS,T049,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T049_L\T010_qc.png,
T049_L,T013,test,325,325,307,0.9446153846153846,307,0.9446153846153846,FAIL,307,0,False,14,0,14,576,FAIL,T049,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T049_L\T013_qc.png,
T076_L,T002,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,33678,0,33678,576,PASS,T076,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T076_L\T002_qc.png,
T076_L,T003,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,3290,0,3290,576,PASS,T076,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T076_L\T003_qc.png,
T076_L,T004,test,325,325,67,0.20615384615384616,67,0.20615384615384616,FAIL,67,0,False,3452,0,3452,576,FAIL,T076,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T076_L\T004_qc.png,
T076_L,T005,test,325,325,0,0.0,1,0.003076923076923077,WARNING,0,1,True,0,0,17540,576,PASS,T076,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T076_L\T005_qc.png,
T076_L,T010,test,325,325,0,0.0,2,0.006153846153846154,WARNING,0,2,True,0,0,1906,576,PASS,T076,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T076_L\T010_qc.png,
T076_L,T013,test,325,325,0,0.0,3,0.009230769230769232,WARNING,0,3,True,1080,0,1080,576,PASS,T076,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T076_L\T013_qc.png,
T0100_L,T002,test,325,325,0,0.0,0,0.0,FAIL,0,0,False,22914,1285,580717,576,FAIL,T0100,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T0100_L\T002_qc.png,
T0100_L,T003,test,325,325,0,0.0,0,0.0,FAIL,0,0,False,21454,2456,580717,576,FAIL,T0100,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T0100_L\T003_qc.png,
T0100_L,T004,test,325,325,0,0.0,6,0.018461538461538463,WARNING,0,6,True,3359,0,3359,576,PASS,T0100,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T0100_L\T004_qc.png,
T0100_L,T005,test,325,325,0,0.0,37,0.11384615384615385,WARNING,0,37,True,0,0,3124,576,PASS,T0100,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T0100_L\T005_qc.png,
T0100_L,T010,test,325,325,0,0.0,12,0.036923076923076927,WARNING,0,12,True,0,0,1860,576,PASS,T0100,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T0100_L\T010_qc.png,
T0100_L,T013,test,325,325,119,0.36615384615384616,119,0.36615384615384616,FAIL,119,0,False,0,0,689,576,FAIL,T0100,L,output\qc_visualizations_r24_fail_diagnosis\repaired\T0100_L\T013_qc.png,
