sample_id,side,global_vertex_id,chosen_region_id,chosen_region_point_id,chosen_quality_rank,chosen_repair_method,x,y,z,member_count,max_candidate_distance_mm,mean_candidate_distance_mm,topology_role
T099,L,0,T001,0,-1,landmark_vertex,-16.678082885325257,46.318373622504595,-31.95459644863459,2,0.0,0.0,landmark
T099,L,1,T001,1,0,mapped,-15.889601517536537,45.652792885552785,-32.0480181814643,2,3.552713678800501e-15,1.7763568394002505e-15,shared_edge
T099,L,2,T001,2,0,mapped,-15.162611010463424,44.91803125075817,-32.13154515067113,2,4.440892098500626e-16,2.220446049250313e-16,shared_edge
T099,L,3,T001,3,0,mapped,-14.62050390655525,44.053719217328926,-32.18701222580643,2,3.580361673049448e-15,1.790180836524724e-15,shared_edge
T099,L,4,T001,4,0,mapped,-14.095360119600093,43.20236427560421,-32.11089433184375,2,3.66205343881779e-15,1.831026719408895e-15,shared_edge
T099,L,5,T001,5,0,mapped,-13.695015168043788,42.301534589488625,-31.89544063170391,2,0.0,0.0,shared_edge
T099,L,6,T001,6,0,mapped,-13.237107082764611,41.48816900485167,-31.533977816678348,2,3.972054645195637e-15,1.9860273225978185e-15,shared_edge
T099,L,7,T001,7,0,mapped,-12.897937727083356,40.76325908032645,-30.970780063532686,2,0.0,0.0,shared_edge
T099,L,8,T001,8,0,mapped,-12.556890787511376,40.20247084617681,-30.19003740989452,2,0.0,0.0,shared_edge
T099,L,9,T001,9,0,mapped,-12.094753631138328,39.64438085549033,-29.546782952671247,2,0.0,0.0,shared_edge
T099,L,10,T001,10,0,mapped,-11.676742316231003,39.01104361850737,-28.98204819340294,2,1.9860273225978185e-15,9.930136612989092e-16,shared_edge
T099,L,11,T001,11,0,mapped,-11.275696563644312,38.34831740458418,-28.314432613589375,2,0.0,0.0,shared_edge
T099,L,12,T001,12,0,mapped,-10.954028488254584,37.709050696510204,-27.65403925628099,2,0.0,0.0,shared_edge
T099,L,13,T001,13,0,mapped,-10.703985424319344,37.009600020832295,-26.938311094398532,2,0.0,0.0,shared_edge
T099,L,14,T001,14,0,mapped,-10.502905917689164,36.299271730304014,-26.210572453521735,2,5.024295867788081e-15,2.5121479338940407e-15,shared_edge
T099,L,15,T001,15,0,mapped,-10.426425130245688,35.619396525433004,-25.454133140436902,2,3.66205343881779e-15,1.831026719408895e-15,shared_edge
T099,L,16,T001,16,0,mapped,-10.424251547098653,34.915722926521184,-24.787899666555,2,0.0,0.0,shared_edge
T099,L,17,T001,17,0,mapped,-10.410951733211558,34.47749687830817,-23.931173218284282,2,8.881784197001252e-16,4.440892098500626e-16,shared_edge
T099,L,18,T001,18,0,mapped,-10.45465519234251,33.79908006587395,-23.247761173016936,2,0.0,0.0,shared_edge
T099,L,19,T001,19,0,mapped,-10.685817274760257,33.0113262717612,-22.78852560316371,2,8.881784197001252e-16,4.440892098500626e-16,shared_edge
T099,L,20,T001,20,0,mapped,-10.912377163972744,32.12662152998908,-22.325589486549426,2,0.0,0.0,shared_edge
T099,L,21,T001,21,0,mapped,-11.220351817629904,31.357188346634018,-21.78050179054668,2,0.0,0.0,shared_edge
