sample_id,side,global_vertex_id,chosen_region_id,chosen_region_point_id,chosen_quality_rank,chosen_repair_method,x,y,z,member_count,max_candidate_distance_mm,mean_candidate_distance_mm,topology_role
T076,L,0,T001,0,-1,landmark_vertex,4.09921932220459,18.34006118774414,-9.520147323608398,2,0.0,0.0,landmark
T076,L,1,T001,1,0,mapped,5.121772745767909,18.025615672856382,-9.520147323608398,2,0.0,0.0,shared_edge
T076,L,2,T001,2,0,mapped,6.096688984202463,17.60377869245472,-9.520147323608398,2,0.0,0.0,shared_edge
T076,L,3,T001,3,0,mapped,7.017776630981286,17.081304406447124,-9.520147323608398,2,0.0,0.0,shared_edge
T076,L,4,T001,4,0,mapped,7.861890516900592,16.423703137995638,-9.520147323608398,2,0.0,0.0,shared_edge
T076,L,5,T001,5,0,mapped,8.513523752100777,15.596243029587876,-9.512537901853335,2,1.7763568394002505e-15,8.881784197001252e-16,shared_edge
T076,L,6,T001,6,0,mapped,9.182889788489447,14.827725314885743,-9.320147514343262,2,0.0,0.0,shared_edge
T076,L,7,T001,7,0,mapped,9.491163029006852,13.802972642559784,-9.320147514343262,2,0.0,0.0,shared_edge
T076,L,8,T001,8,0,mapped,9.710644162608968,12.820740313925707,-9.03556229330379,2,0.0,0.0,shared_edge
T076,L,9,T001,9,0,mapped,9.915952583030656,11.95752868260204,-8.459478166655442,2,5.617333549722722e-15,2.808666774861361e-15,shared_edge
T076,L,10,T001,10,0,mapped,10.09921932220459,11.237142050262229,-7.791995590497543,2,5.4025784115714076e-15,2.7012892057857038e-15,shared_edge
T076,L,11,T001,11,0,mapped,10.679998652267646,10.66848213539302,-7.1180729100549245,2,1.7763568394002505e-15,8.881784197001252e-16,shared_edge
T076,L,12,T001,12,0,mapped,10.699219703674316,10.029210193249972,-6.265429699638805,2,1.7763568394002505e-15,8.881784197001252e-16,shared_edge
T076,L,13,T001,13,0,mapped,11.001667940286064,9.436098981521528,-5.512088591814229,2,8.881784197001252e-16,4.440892098500626e-16,shared_edge
T076,L,14,T001,14,0,mapped,11.299220085144045,8.868816288624746,-4.684029675649823,2,0.0,0.0,shared_edge
T076,L,15,T001,15,0,mapped,11.494214769839049,8.37556982215918,-3.8097216406855594,2,0.0,0.0,shared_edge
T076,L,16,T001,16,0,mapped,11.787852713168194,7.699071868809747,-3.1686971612899293,2,1.7763568394002505e-15,8.881784197001252e-16,shared_edge
T076,L,17,T001,17,0,mapped,11.812071492014224,6.941473657447787,-2.41109878362848,2,0.0,0.0,shared_edge
T076,L,18,T001,18,0,mapped,11.722084580640304,6.169598750258682,-1.6792803717125255,2,0.0,0.0,shared_edge
T076,L,19,T001,19,0,mapped,11.59924804491547,5.142851803051546,-1.5201468467712402,2,1.7763568394002505e-15,8.881784197001252e-16,shared_edge
T076,L,20,T001,20,0,mapped,11.262497316297436,4.34042718348226,-0.9505250908298366,2,1.9860273225978185e-15,9.930136612989092e-16,shared_edge
T076,L,21,T001,21,0,mapped,10.922756526862551,3.49272201080007,-0.6161189773000151,2,0.0,0.0,shared_edge
T076,L,22,T001,22,0,mapped,10.478451888957904,2.6134356222561967,-0.2014447373497803,2,0.0,0.0,shared_edge
T076,L,23,T001,23,0,mapped,10.001078986699934,1.8630075916068256,0.2737801259704385,2,4.577566798522237e-16,2.2887833992611187e-16,shared_edge
