edge_id,lm_start,lm_end,resolution,is_shared,regions
L10__L13,L10,L13,24,True,T003;T004
L10__L17,L10,L17,24,True,T003;T005
L10__L18,L10,L18,24,False,T005
L10__L2,L10,L2,24,False,T002
L10__L31,L10,L31,24,True,T002;T004
L13__L17,L13,L17,24,True,T003;T006
L13__L19,L13,L19,24,False,T007
L13__L28,L13,L28,24,True,T006;T007
L13__L31,L13,L31,24,False,T004
L15__L18,L15,L18,24,False,T008
L15__L20,L15,L20,24,False,T008
L17__L18,L17,L18,24,True,T005;T009
L17__L28,L17,L28,24,True,T006;T010
L17__L29,L17,L29,24,True,T009;T010
L18__L20,L18,L20,24,True,T008;T011
L18__L29,L18,L29,24,True,T009;T011
L19__L21,L19,L21,24,False,T012
L19__L28,L19,L28,24,True,T007;T013
L19__L29,L19,L29,24,True,T012;T013
L20__L21,L20,L21,24,True,T014;T015
L20__L26,L20,L26,24,False,T014
L20__L29,L20,L29,24,True,T011;T015
L21__L26,L21,L26,24,False,T014
L21__L29,L21,L29,24,True,T012;T015
L28__L29,L28,L29,24,True,T010;T013
L2__L31,L2,L31,24,True,T001;T002
L2__L7,L2,L7,24,False,T001
L31__L7,L31,L7,24,False,T001
