sample_id,side,edge_id,lm_start,lm_end,regions,expected_point_count,compared_point_count,invalid_point_count,replacement_point_count,unresolved_point_count,mean_distance_mm,rms_distance_mm,max_distance_mm,max_conflict_distance_mm,max_replacement_distance_mm,status
T013,L,L10__L13,L10,L13,T003;T004,25,25,0,1,0,1.3278845618289527e-15,2.908021475843885e-15,1.0805156823142815e-14,1.0805156823142815e-14,0.0,PASS
T013,L,L10__L17,L10,L17,T003;T005,25,25,0,0,0,5.501387397796833e-15,6.562911352827131e-15,1.432144669219779e-14,1.432144669219779e-14,0.0,PASS
T013,L,L10__L31,L10,L31,T002;T004,25,25,0,0,1,3.7010076861430375e-15,5.099103395312214e-15,1.432144669219779e-14,1.432144669219779e-14,0.0,PASS
T013,L,L13__L17,L13,L17,T003;T006,25,25,0,2,0,2.159370802273932e-15,3.056159864571351e-15,6.466036496704424e-15,6.466036496704424e-15,0.0,PASS
T013,L,L13__L28,L13,L28,T006;T007,25,25,0,1,0,3.009907329598455e-16,1.0658141036401502e-15,3.972054645195637e-15,3.972054645195637e-15,0.0,PASS
T013,L,L17__L18,L17,L18,T005;T009,25,25,0,0,0,2.5560449207912124e-15,3.956134522432835e-15,1.03578512786223e-14,1.03578512786223e-14,0.0,PASS
T013,L,L17__L28,L17,L28,T006;T010,25,25,0,1,1,1.7837446680108943e-15,3.2877601119593435e-15,1.0667388882858398e-14,1.0667388882858398e-14,0.0,PASS
T013,L,L17__L29,L17,L29,T009;T010,25,25,0,2,0,6.1776965987875695e-16,1.3484525896502378e-15,3.66205343881779e-15,3.66205343881779e-15,0.0,PASS
T013,L,L18__L20,L18,L20,T008;T011,25,25,0,8,0,0.39189267160121233,0.8498364998180806,2.32710531326645,7.944109290391274e-15,2.32710531326645,PASS
T013,L,L18__L29,L18,L29,T009;T011,25,25,0,2,0,4.532222064965763e-15,5.646051717338427e-15,1.2434497875801753e-14,1.2434497875801753e-14,0.0,PASS
T013,L,L19__L28,L19,L28,T007;T013,25,25,0,0,0,1.2942715560440447e-15,1.9660667424029526e-15,4.070144838902081e-15,4.070144838902081e-15,0.0,PASS
T013,L,L19__L29,L19,L29,T012;T013,25,25,0,1,0,5.658653075775669e-16,1.0916377626985477e-15,3.66205343881779e-15,3.66205343881779e-15,0.0,PASS
T013,L,L20__L21,L20,L21,T014;T015,25,25,0,2,0,0.008972632544376347,0.04486316272187983,0.22431581360939915,1.7763568394002505e-15,0.22431581360939915,PASS
T013,L,L20__L29,L20,L29,T011;T015,25,25,0,2,0,3.164339542020684e-15,3.769828449872557e-15,7.345113365097286e-15,7.345113365097286e-15,0.0,PASS
T013,L,L21__L29,L21,L29,T012;T015,25,25,0,0,0,1.9851631749029223e-15,2.449627288745321e-15,5.329070518200751e-15,5.329070518200751e-15,0.0,PASS
T013,L,L28__L29,L28,L29,T010;T013,25,25,0,3,0,0.012177150308107515,0.060885751540523544,0.30442875770261774,1.291729102427781e-14,0.30442875770261774,PASS
T013,L,L2__L31,L2,L31,T001;T002,25,25,0,4,0,0.016987042864403123,0.0600658237396192,0.21570676248622095,1.5888218580782548e-14,0.21570676248622095,PASS
