edge_id,edge_index,region_id,region_point_id,global_vertex_id
L10__L13,0,T003,0,624
L10__L13,1,T003,25,649
L10__L13,2,T003,49,673
L10__L13,3,T003,72,696
L10__L13,4,T003,94,718
L10__L13,5,T003,115,739
L10__L13,6,T003,135,759
L10__L13,7,T003,154,778
L10__L13,8,T003,172,796
L10__L13,9,T003,189,813
L10__L13,10,T003,205,829
L10__L13,11,T003,220,844
L10__L13,12,T003,234,858
L10__L13,13,T003,247,871
L10__L13,14,T003,259,883
L10__L13,15,T003,270,894
L10__L13,16,T003,280,904
L10__L13,17,T003,289,913
L10__L13,18,T003,297,921
L10__L13,19,T003,304,928
L10__L13,20,T003,310,934
L10__L13,21,T003,315,939
L10__L13,22,T003,319,943
L10__L13,23,T003,322,946
L10__L13,24,T003,324,948
L10__L13,0,T004,0,624
L10__L13,1,T004,25,649
L10__L13,2,T004,49,673
L10__L13,3,T004,72,696
L10__L13,4,T004,94,718
L10__L13,5,T004,115,739
L10__L13,6,T004,135,759
L10__L13,7,T004,154,778
L10__L13,8,T004,172,796
L10__L13,9,T004,189,813
L10__L13,10,T004,205,829
L10__L13,11,T004,220,844
L10__L13,12,T004,234,858
L10__L13,13,T004,247,871
L10__L13,14,T004,259,883
L10__L13,15,T004,270,894
L10__L13,16,T004,280,904
L10__L13,17,T004,289,913
L10__L13,18,T004,297,921
L10__L13,19,T004,304,928
L10__L13,20,T004,310,934
L10__L13,21,T004,315,939
L10__L13,22,T004,319,943
L10__L13,23,T004,322,946
L10__L13,24,T004,324,948
L10__L17,0,T003,0,624
L10__L17,1,T003,1,625
L10__L17,2,T003,2,626
L10__L17,3,T003,3,627
L10__L17,4,T003,4,628
L10__L17,5,T003,5,629
L10__L17,6,T003,6,630
L10__L17,7,T003,7,631
L10__L17,8,T003,8,632
L10__L17,9,T003,9,633
L10__L17,10,T003,10,634
L10__L17,11,T003,11,635
L10__L17,12,T003,12,636
L10__L17,13,T003,13,637
L10__L17,14,T003,14,638
L10__L17,15,T003,15,639
L10__L17,16,T003,16,640
L10__L17,17,T003,17,641
L10__L17,18,T003,18,642
L10__L17,19,T003,19,643
L10__L17,20,T003,20,644
L10__L17,21,T003,21,645
L10__L17,22,T003,22,646
L10__L17,23,T003,23,647
L10__L17,24,T003,24,648
L10__L17,0,T005,0,624
L10__L17,1,T005,25,625
L10__L17,2,T005,49,626
L10__L17,3,T005,72,627
L10__L17,4,T005,94,628
L10__L17,5,T005,115,629
L10__L17,6,T005,135,630
L10__L17,7,T005,154,631
L10__L17,8,T005,172,632
L10__L17,9,T005,189,633
L10__L17,10,T005,205,634
L10__L17,11,T005,220,635
L10__L17,12,T005,234,636
L10__L17,13,T005,247,637
L10__L17,14,T005,259,638
L10__L17,15,T005,270,639
L10__L17,16,T005,280,640
L10__L17,17,T005,289,641
L10__L17,18,T005,297,642
L10__L17,19,T005,304,643
L10__L17,20,T005,310,644
L10__L17,21,T005,315,645
L10__L17,22,T005,319,646
L10__L17,23,T005,322,647
L10__L17,24,T005,324,648
L10__L18,0,T005,0,624
L10__L18,1,T005,1,1225
L10__L18,2,T005,2,1226
L10__L18,3,T005,3,1227
L10__L18,4,T005,4,1228
L10__L18,5,T005,5,1229
L10__L18,6,T005,6,1230
L10__L18,7,T005,7,1231
L10__L18,8,T005,8,1232
L10__L18,9,T005,9,1233
L10__L18,10,T005,10,1234
L10__L18,11,T005,11,1235
L10__L18,12,T005,12,1236
L10__L18,13,T005,13,1237
L10__L18,14,T005,14,1238
L10__L18,15,T005,15,1239
L10__L18,16,T005,16,1240
L10__L18,17,T005,17,1241
L10__L18,18,T005,18,1242
L10__L18,19,T005,19,1243
L10__L18,20,T005,20,1244
L10__L18,21,T005,21,1245
L10__L18,22,T005,22,1246
L10__L18,23,T005,23,1247
L10__L18,24,T005,24,1248
L10__L2,0,T002,324,624
L10__L2,1,T002,322,622
L10__L2,2,T002,319,619
L10__L2,3,T002,315,615
L10__L2,4,T002,310,610
L10__L2,5,T002,304,604
L10__L2,6,T002,297,597
L10__L2,7,T002,289,589
L10__L2,8,T002,280,580
L10__L2,9,T002,270,570
L10__L2,10,T002,259,559
L10__L2,11,T002,247,547
L10__L2,12,T002,234,534
L10__L2,13,T002,220,520
L10__L2,14,T002,205,505
L10__L2,15,T002,189,489
L10__L2,16,T002,172,472
L10__L2,17,T002,154,454
L10__L2,18,T002,135,435
L10__L2,19,T002,115,415
L10__L2,20,T002,94,394
L10__L2,21,T002,72,372
L10__L2,22,T002,49,349
L10__L2,23,T002,25,325
L10__L2,24,T002,0,0
L10__L31,0,T002,324,624
L10__L31,1,T002,323,623
L10__L31,2,T002,321,621
L10__L31,3,T002,318,618
L10__L31,4,T002,314,614
L10__L31,5,T002,309,609
L10__L31,6,T002,303,603
L10__L31,7,T002,296,596
L10__L31,8,T002,288,588
L10__L31,9,T002,279,579
L10__L31,10,T002,269,569
L10__L31,11,T002,258,558
L10__L31,12,T002,246,546
L10__L31,13,T002,233,533
L10__L31,14,T002,219,519
L10__L31,15,T002,204,504
L10__L31,16,T002,188,488
L10__L31,17,T002,171,471
L10__L31,18,T002,153,453
L10__L31,19,T002,134,434
L10__L31,20,T002,114,414
L10__L31,21,T002,93,393
L10__L31,22,T002,71,371
L10__L31,23,T002,48,348
L10__L31,24,T002,24,24
L10__L31,0,T004,0,624
L10__L31,1,T004,1,623
L10__L31,2,T004,2,621
L10__L31,3,T004,3,618
L10__L31,4,T004,4,614
L10__L31,5,T004,5,609
L10__L31,6,T004,6,603
L10__L31,7,T004,7,596
L10__L31,8,T004,8,588
L10__L31,9,T004,9,579
L10__L31,10,T004,10,569
L10__L31,11,T004,11,558
L10__L31,12,T004,12,546
L10__L31,13,T004,13,533
L10__L31,14,T004,14,519
L10__L31,15,T004,15,504
L10__L31,16,T004,16,488
L10__L31,17,T004,17,471
L10__L31,18,T004,18,453
L10__L31,19,T004,19,434
L10__L31,20,T004,20,414
L10__L31,21,T004,21,393
L10__L31,22,T004,22,371
L10__L31,23,T004,23,348
L10__L31,24,T004,24,24
L13__L17,0,T003,324,948
L13__L17,1,T003,323,947
L13__L17,2,T003,321,945
L13__L17,3,T003,318,942
L13__L17,4,T003,314,938
L13__L17,5,T003,309,933
L13__L17,6,T003,303,927
L13__L17,7,T003,296,920
L13__L17,8,T003,288,912
L13__L17,9,T003,279,903
L13__L17,10,T003,269,893
L13__L17,11,T003,258,882
L13__L17,12,T003,246,870
L13__L17,13,T003,233,857
L13__L17,14,T003,219,843
L13__L17,15,T003,204,828
L13__L17,16,T003,188,812
L13__L17,17,T003,171,795
L13__L17,18,T003,153,777
L13__L17,19,T003,134,758
L13__L17,20,T003,114,738
L13__L17,21,T003,93,717
L13__L17,22,T003,71,695
L13__L17,23,T003,48,672
L13__L17,24,T003,24,648
L13__L17,0,T006,0,948
L13__L17,1,T006,25,947
L13__L17,2,T006,49,945
L13__L17,3,T006,72,942
L13__L17,4,T006,94,938
L13__L17,5,T006,115,933
L13__L17,6,T006,135,927
L13__L17,7,T006,154,920
L13__L17,8,T006,172,912
L13__L17,9,T006,189,903
L13__L17,10,T006,205,893
L13__L17,11,T006,220,882
L13__L17,12,T006,234,870
L13__L17,13,T006,247,857
L13__L17,14,T006,259,843
L13__L17,15,T006,270,828
L13__L17,16,T006,280,812
L13__L17,17,T006,289,795
L13__L17,18,T006,297,777
L13__L17,19,T006,304,758
L13__L17,20,T006,310,738
L13__L17,21,T006,315,717
L13__L17,22,T006,319,695
L13__L17,23,T006,322,672
L13__L17,24,T006,324,648
L13__L19,0,T007,0,948
L13__L19,1,T007,25,1825
L13__L19,2,T007,49,1849
L13__L19,3,T007,72,1872
L13__L19,4,T007,94,1894
L13__L19,5,T007,115,1915
L13__L19,6,T007,135,1935
L13__L19,7,T007,154,1954
L13__L19,8,T007,172,1972
L13__L19,9,T007,189,1989
L13__L19,10,T007,205,2005
L13__L19,11,T007,220,2020
